=== Conversion Results (Decimal -> Binary / Hex) ===
Valid numbers: 200
Invalid lines skipped: 0

Decimal -> Binary -> Hex
------------------------
-39 -> -100111 -> -27
-36 -> -100100 -> -24
8 -> 1000 -> 8
34 -> 100010 -> 22
17 -> 10001 -> 11
49 -> 110001 -> 31
5 -> 101 -> 5
39 -> 100111 -> 27
0 -> 0 -> 0
33 -> 100001 -> 21
12 -> 1100 -> C
-6 -> -110 -> -6
27 -> 11011 -> 1B
-4 -> -100 -> -4
-38 -> -100110 -> -26
26 -> 11010 -> 1A
49 -> 110001 -> 31
29 -> 11101 -> 1D
42 -> 101010 -> 2A
-16 -> -10000 -> -10
-28 -> -11100 -> -1C
34 -> 100010 -> 22
20 -> 10100 -> 14
0 -> 0 -> 0
25 -> 11001 -> 19
45 -> 101101 -> 2D
3 -> 11 -> 3
-46 -> -101110 -> -2E
-46 -> -101110 -> -2E
29 -> 11101 -> 1D
33 -> 100001 -> 21
29 -> 11101 -> 1D
26 -> 11010 -> 1A
-5 -> -101 -> -5
-36 -> -100100 -> -24
12 -> 1100 -> C
45 -> 101101 -> 2D
-50 -> -110010 -> -32
0 -> 0 -> 0
-6 -> -110 -> -6
-39 -> -100111 -> -27
35 -> 100011 -> 23
26 -> 11010 -> 1A
-35 -> -100011 -> -23
-42 -> -101010 -> -2A
14 -> 1110 -> E
-3 -> -11 -> -3
22 -> 10110 -> 16
-47 -> -101111 -> -2F
12 -> 1100 -> C
-17 -> -10001 -> -11
-31 -> -11111 -> -1F
-25 -> -11001 -> -19
-35 -> -100011 -> -23
-18 -> -10010 -> -12
14 -> 1110 -> E
37 -> 100101 -> 25
-8 -> -1000 -> -8
-41 -> -101001 -> -29
-50 -> -110010 -> -32
-9 -> -1001 -> -9
2 -> 10 -> 2
12 -> 1100 -> C
-39 -> -100111 -> -27
-17 -> -10001 -> -11
0 -> 0 -> 0
27 -> 11011 -> 1B
28 -> 11100 -> 1C
45 -> 101101 -> 2D
-44 -> -101100 -> -2C
28 -> 11100 -> 1C
35 -> 100011 -> 23
-33 -> -100001 -> -21
43 -> 101011 -> 2B
-4 -> -100 -> -4
23 -> 10111 -> 17
-49 -> -110001 -> -31
49 -> 110001 -> 31
-7 -> -111 -> -7
-38 -> -100110 -> -26
-45 -> -101101 -> -2D
5 -> 101 -> 5
-21 -> -10101 -> -15
26 -> 11010 -> 1A
-2 -> -10 -> -2
-24 -> -11000 -> -18
6 -> 110 -> 6
-45 -> -101101 -> -2D
-4 -> -100 -> -4
15 -> 1111 -> F
0 -> 0 -> 0
-17 -> -10001 -> -11
-35 -> -100011 -> -23
43 -> 101011 -> 2B
45 -> 101101 -> 2D
-35 -> -100011 -> -23
-8 -> -1000 -> -8
28 -> 11100 -> 1C
47 -> 101111 -> 2F
34 -> 100010 -> 22
-24 -> -11000 -> -18
-42 -> -101010 -> -2A
-13 -> -1101 -> -D
14 -> 1110 -> E
-45 -> -101101 -> -2D
-35 -> -100011 -> -23
27 -> 11011 -> 1B
-12 -> -1100 -> -C
-19 -> -10011 -> -13
-20 -> -10100 -> -14
-14 -> -1110 -> -E
20 -> 10100 -> 14
30 -> 11110 -> 1E
12 -> 1100 -> C
-36 -> -100100 -> -24
-47 -> -101111 -> -2F
-27 -> -11011 -> -1B
-3 -> -11 -> -3
6 -> 110 -> 6
36 -> 100100 -> 24
9 -> 1001 -> 9
-16 -> -10000 -> -10
36 -> 100100 -> 24
-27 -> -11011 -> -1B
7 -> 111 -> 7
-6 -> -110 -> -6
-5 -> -101 -> -5
5 -> 101 -> 5
47 -> 101111 -> 2F
23 -> 10111 -> 17
-48 -> -110000 -> -30
-24 -> -11000 -> -18
40 -> 101000 -> 28
-4 -> -100 -> -4
-18 -> -10010 -> -12
-19 -> -10011 -> -13
14 -> 1110 -> E
15 -> 1111 -> F
1 -> 1 -> 1
24 -> 11000 -> 18
-9 -> -1001 -> -9
-50 -> -110010 -> -32
18 -> 10010 -> 12
15 -> 1111 -> F
30 -> 11110 -> 1E
44 -> 101100 -> 2C
9 -> 1001 -> 9
19 -> 10011 -> 13
33 -> 100001 -> 21
41 -> 101001 -> 29
-24 -> -11000 -> -18
43 -> 101011 -> 2B
48 -> 110000 -> 30
-23 -> -10111 -> -17
7 -> 111 -> 7
28 -> 11100 -> 1C
8 -> 1000 -> 8
-2 -> -10 -> -2
37 -> 100101 -> 25
42 -> 101010 -> 2A
-17 -> -10001 -> -11
-6 -> -110 -> -6
36 -> 100100 -> 24
22 -> 10110 -> 16
27 -> 11011 -> 1B
31 -> 11111 -> 1F
-47 -> -101111 -> -2F
-43 -> -101011 -> -2B
0 -> 0 -> 0
27 -> 11011 -> 1B
30 -> 11110 -> 1E
12 -> 1100 -> C
-15 -> -1111 -> -F
-19 -> -10011 -> -13
-42 -> -101010 -> -2A
-37 -> -100101 -> -25
31 -> 11111 -> 1F
-10 -> -1010 -> -A
18 -> 10010 -> 12
33 -> 100001 -> 21
-15 -> -1111 -> -F
17 -> 10001 -> 11
25 -> 11001 -> 19
-25 -> -11001 -> -19
-5 -> -101 -> -5
33 -> 100001 -> 21
-13 -> -1101 -> -D
33 -> 100001 -> 21
-10 -> -1010 -> -A
47 -> 101111 -> 2F
47 -> 101111 -> 2F
-13 -> -1101 -> -D
-32 -> -100000 -> -20
1 -> 1 -> 1
1 -> 1 -> 1
-25 -> -11001 -> -19
-33 -> -100001 -> -21
16 -> 10000 -> 10
17 -> 10001 -> 11
4 -> 100 -> 4

Elapsed time (s): 0.000487
